yourlist:M202202115BF3C56A578D7D6DFD1FC81EE5DA77304059810	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
AAY81618	Q4J6G3	THII_SULAC	reviewed	Probable tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI Saci_2336	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	369
AAY79696	Q4JBY3	QUEC_SULAC	reviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (Archaeosine biosynthesis protein QueC) (PreQ(0) synthase)	queC Saci_0280	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	462
AAY80288	Q4JA92	Q4JA92_SULAC	unreviewed	Phosphoribosyltransferase	Saci_0925	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	175
AAY80358	Q4JA22	Q4JA22_SULAC	unreviewed	Purine phosphoribosyltransferase	Saci_0998	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	206
AAY79794	Q4JBN5	Q4JBN5_SULAC	unreviewed	PP-loop family protein	Saci_0378	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	315
AAY80883	Q4J8J8	Q4J8J8_SULAC	unreviewed	ATP binding protein	Saci_1570	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	320
AAY80625	Q4J9A5	Q4J9A5_SULAC	unreviewed	RNA methylase	Saci_1283	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	301
AAY80031	Q4JAZ8	SPEE_SULAC	reviewed	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE Saci_0643	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	302
AAY79572	Q4JCA7	GLCAE_SULAC	reviewed	D-glucosamine-6-phosphate 4-epimerase (EC 5.1.3.42)	Saci_0151	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	306
AAY80172	Q4JAK7	Q4JAK7_SULAC	unreviewed	Conserved protein	Saci_0802	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	228
AAY81643	Q4J6D9	GLMS_SULAC	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS Saci_2364	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	590
AAY80448	Q4J9T2	Q4J9T2_SULAC	unreviewed	Conserved protein	Saci_1094	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	274
AAY80333	Q4JA47	Q4JA47_SULAC	unreviewed	Cystathionine beta-lyases/cystathionine gamma-synthase	Saci_0971	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	373
AAY79438	Q4JCP1	Q4JCP1_SULAC	unreviewed	Carbon-nitrogen hydrolase	Saci_0008	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	271
AAY79630	Q4JC49	Q4JC49_SULAC	unreviewed	Conserved protein	Saci_0211	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	238
AAY80207	Q4JAH2	Q4JAH2_SULAC	unreviewed	Conserved protein	Saci_0840	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	297
AAY80171	Q4JAK8	PYRG_SULAC	reviewed	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG Saci_0801	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	529
AAY80931	Q4J8E9	CARA_SULAC	reviewed	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA Saci_1619	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	371
AAY79454	Q4JCM5	Q4JCM5_SULAC	unreviewed	Selenocysteine lyase (EC 4.4.1.-)	sufS Saci_0024	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	374
AAY80624	Q4J9A6	KPRS_SULAC	reviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs Saci_1282	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	291
AAY80123	Q4JAQ6	Q4JAQ6_SULAC	unreviewed	Conserved Prokaryal protein	Saci_0747	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	222
AAY79439	Q4JCP0	NADE_SULAC	reviewed	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	nadE Saci_0009	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	279
AAY80693	Q4J937	GLYA_SULAC	reviewed	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.-)	glyA Saci_1358	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	433
AAY79880	Q4JBE9	Q4JBE9_SULAC	unreviewed	Conserved Archaeal protein	Saci_0474	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	308
AAY80714	Q4J916	Q4J916_SULAC	unreviewed	Glycine dehydrogenase (aminomethyl-transferring) (EC 1.4.4.2)	gcvP Saci_1381	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	505
AAY80715	Q4J915	GCSPA_SULAC	reviewed	Probable glycine dehydrogenase (decarboxylating) subunit 1 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 1) (Glycine decarboxylase subunit 1) (Glycine dehydrogenase (aminomethyl-transferring) subunit 1)	gcvPA Saci_1382	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	447
CAD31974	Q8NKP8	Q8NKP8_9CREN	unreviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	pyrF ATY89_10115 ATZ20_01670	Sulfolobus acidocaldarius	219
AAY79666	Q4JC13	Q4JC13_SULAC	unreviewed	Conserved Archaeal aspartate aminotransferase (EC 2.-.-.-)	Saci_0249	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	387
AAY80703	Q4J926	Q4J926_SULAC	unreviewed	Serine-glyoxylate aminotransferase (EC 2.6.1.45)	sgaA Saci_1369	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	371
AAY80265	Q4JAB5	Q4JAB5_SULAC	unreviewed	Conserved protein	Saci_0902	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	169
AAY79829	Q4JBK0	Q4JBK0_SULAC	unreviewed	GMP synthetase (EC 6.3.5.2)	Saci_0414	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	373
AAY80756	Q4J8X4	Q4J8X4_SULAC	unreviewed	Anthranilate synthase component II (EC 4.1.3.27)	trpGD Saci_1426	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	189
AAY79944	Q8X239	GUAAA_SULAC	reviewed	GMP synthase [glutamine-hydrolyzing] subunit A (EC 6.3.5.2) (Glutamine amidotransferase)	guaAA guaA Saci_0548	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	188
AAY80894	Q4J8I5	HIS5_SULAC	reviewed	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH Saci_1581	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	199
AAY80501	Q4J9M9	Q4J9M9_SULAC	unreviewed	Conserved protein	Saci_1154	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	209
AAY81606	Q4J6H5	Q4J6H5_SULAC	unreviewed	Glutamine amidotransferase class-II domain protein	Saci_2321	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	659
AAY79828	Q4JBK1	Q4JBK1_SULAC	unreviewed	Probable cobyric acid synthase	cobQ Saci_0413	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	459
AAY80193	Q4JAI7	CBIA_SULAC	reviewed	Cobyrinate a,c-diamide synthase (EC 6.3.5.11) (Cobyrinic acid a,c-diamide synthetase)	cbiA Saci_0825	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	434
AAY80014	Q4JB15	Q4JB15_SULAC	unreviewed	Conserved Archaeal protein	Saci_0622	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	200
AAY80178	Q4JAK1	Q4JAK1_SULAC	unreviewed	Conserved protein	Saci_0810	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	187
AAY81277	Q4J7F3	Q4J7F3_SULAC	unreviewed	Modification methylase (EC 2.1.1.113)	Saci_1975	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	286
AAY81488	Q4J6U4	Q4J6U4_SULAC	unreviewed	Adenylyl-sulfate reductase (thioredoxin) (EC 1.8.4.10)	Saci_2202	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	239
AAY79711	Q4JBW8	Q4JBW8_SULAC	unreviewed	Conserved membrane protein	Saci_0295	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	416
AAY80416	Q4J9W5	Q4J9W5_SULAC	unreviewed	Universally conserved protein	Saci_1059	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	401
AAY80602	Q4J9C7	Q4J9C7_SULAC	unreviewed	Membrane protein	Saci_1256	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	395
AAY81124	Q4J7V7	Q4J7V7_SULAC	unreviewed	Conserved membrane protein	Saci_1818	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	379
AAY81407	Q4J724	Q4J724_SULAC	unreviewed	Drug transporter	Saci_2113	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	396
AAY81426	Q4J6Z9	Q4J6Z9_SULAC	unreviewed	Conserved membrane protein	Saci_2133	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	376
AAY79565	Q4JCB4	Q4JCB4_SULAC	unreviewed	Conserved membrane protein	Saci_0144	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	386
AAY81095	Q4J7Y6	Q4J7Y6_SULAC	unreviewed	Conserved membrane protein	Saci_1789	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	411
AAY81367	Q4J762	Q4J762_SULAC	unreviewed	Conserved membrane protein	Saci_2073	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	378
AAY81391	Q4J742	Q4J742_SULAC	unreviewed	Conserved membrane protein	Saci_2097	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	361
AAY81412	Q4J716	Q4J716_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_2118	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	382
AAY80529	Q4J9K2	Q4J9K2_SULAC	unreviewed	Multidrug resistance protein	Saci_1182	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	452
AAY80957	Q4J8C3	Q4J8C3_SULAC	unreviewed	Conserved membrane protein	Saci_1647	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	470
AAY80979	Q4J8A2	Q4J8A2_SULAC	unreviewed	Multidrug efflux protein	Saci_1669	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	555
AAY81260	Q4J7H1	Q4J7H1_SULAC	unreviewed	Sugar transporter	Saci_1957	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	567
AAY81378	Q4J754	Q4J754_SULAC	unreviewed	Conserved membrane transporter	Saci_2084	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	474
AAY81405	Q4J725	Q4J725_SULAC	unreviewed	Sugar transporter	Saci_2111	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	565
AAY79787	Q4JBP2	Q4JBP2_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_0371	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	372
AAY81003	Q4J874	Q4J874_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_1697	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	376
AAY80512	Q4J9L8	Q4J9L8_SULAC	unreviewed	Sugar-binding periplasmic protein	Saci_1165	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	480
AAY80511	Q4J9L9	Q4J9L9_SULAC	unreviewed	Conserved Archaeal transport protein	Saci_1164	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	294
AAY80510	Q4J9M0	Q4J9M0_SULAC	unreviewed	Sugar transport system permease protein	Saci_1163	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	285
AAY79539	Q4JCE0	Q4JCE0_SULAC	unreviewed	Sulfate transport system permease	cysT Saci_0114	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	253
AAY79675	Q4JC04	Q4JC04_SULAC	unreviewed	ABC transporter	Saci_0258	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	543
AAY80513	Q4J9L5	Q4J9L5_SULAC	unreviewed	ABC transporter ATPase component	Saci_1166	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	358
AAY80392	Q4J9Y8	Q4J9Y8_SULAC	unreviewed	ABC transporter	Saci_1035	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	452
AAY81070	Q4J811	Q4J811_SULAC	unreviewed	ABC transporter	Saci_1764	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	328
AAY80391	Q4J9Y9	Q4J9Y9_SULAC	unreviewed	ABC transporter	Saci_1034	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	419
AAY81071	Q4J810	Q4J810_SULAC	unreviewed	ABC transporter	Saci_1765	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	313
AAY80056	Q4JAX3	Q4JAX3_SULAC	unreviewed	RNase L inhibitor-like protein	Saci_0672	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	604
AAY80245	Q4JAD5	Q4JAD5_SULAC	unreviewed	ABC-type transport system	Saci_0880	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	372
AAY79674	Q4JC05	Q4JC05_SULAC	unreviewed	ABC transporter	Saci_0257	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	238
AAY79806	Q4JBM4	Q4JBM4_SULAC	unreviewed	ABC transporter	Saci_0389	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	275
AAY80112	Q4JAR7	Q4JAR7_SULAC	unreviewed	ABC transporter	Saci_0734	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	266
AAY80115	Q4JAR4	Q4JAR4_SULAC	unreviewed	ABC transporter	Saci_0737	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	263
AAY80308	Q4JA72	Q4JA72_SULAC	unreviewed	ABC transporter, ATP binding	Saci_0946	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	248
AAY80364	Q4JA16	Q4JA16_SULAC	unreviewed	ABC transporter ATP-binding protein	Saci_1006	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	283
AAY80384	Q4JA04	Q4JA04_SULAC	unreviewed	ABC transporter	Saci_1027	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	303
AAY80637	Q4J993	Q4J993_SULAC	unreviewed	ABC transporter	Saci_1296	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	235
AAY80850	Q4J8N6	Q4J8N6_SULAC	unreviewed	ABC transporter	Saci_1536	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	239
AAY81005	Q4J877	Q4J877_SULAC	unreviewed	ABC transporter, ATP binding protein	Saci_1699	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	283
AAY81105	Q4J7X5	Q4J7X5_SULAC	unreviewed	ABC transporter	Saci_1799	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	305
AAY81591	Q4J6J0	Q4J6J0_SULAC	unreviewed	Copper transport ATP-binding protein	nosF Saci_2305	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	294
AAY80568	Q4J9G2	Q4J9G2_SULAC	unreviewed	ABC transporter	Saci_1222	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	219
AAY81264	Q4J7G8	Q4J7G8_SULAC	unreviewed	ABC transporter	Saci_1961	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	284
